epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,386.326,1.12414,0.7695,0.90526,0.88724,0.92946,0.92265,0.66617,0.9477,0.63275,0.869,0.00999281,0.00333094,0.00999281,0.00333094,0.0766835,0.0700216,0.00999281,0.00333094
2,670.879,1.06718,0.56138,0.88305,0.88786,0.92721,0.9283,0.66021,1.00198,0.62338,0.87692,0.0197949,0.00659829,0.0197949,0.00659829,0.0531522,0.0399556,0.0197949,0.00659829
3,929.754,1.06091,0.5435,0.88146,0.88271,0.92788,0.91046,0.66324,0.95375,0.60993,0.87472,0.0293989,0.00979965,0.0293989,0.00979965,0.0294229,0.00982363,0.0293989,0.00979965
4,1188.93,1.00463,0.50609,0.87223,0.883,0.91369,0.91691,0.68671,0.89553,0.59342,0.87144,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1449.84,0.94921,0.4718,0.86209,0.88854,0.91621,0.91801,0.69164,0.91244,0.58752,0.86653,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1707.97,0.91458,0.45045,0.85419,0.88783,0.91529,0.92409,0.6996,0.91313,0.57798,0.86923,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1965.63,0.88918,0.43651,0.84867,0.91164,0.92118,0.93854,0.73679,0.82758,0.52478,0.85578,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2219.37,0.86213,0.42266,0.84551,0.90246,0.93252,0.92516,0.72144,0.84981,0.52928,0.85637,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2474.03,0.84652,0.41355,0.84236,0.90773,0.93423,0.93165,0.72256,0.84648,0.5263,0.85969,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2728.19,0.83051,0.40505,0.84002,0.9107,0.93484,0.92945,0.72732,0.83536,0.51345,0.85146,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2981.96,0.81857,0.39762,0.83774,0.90021,0.92964,0.92813,0.72439,0.845,0.52725,0.8595,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3236.98,0.81136,0.39303,0.83642,0.90627,0.92301,0.93097,0.73857,0.80611,0.51251,0.85317,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3491.33,0.80321,0.38786,0.83492,0.91342,0.93403,0.92618,0.73008,0.81076,0.50744,0.84784,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
