epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1766.01,1.16601,1.23215,0.00208,0.86481,0.86865,0.90745,0.67739,0.93539,0.62965,0.00262,0.00998561,0.00332854,0.00998561,0.00332854,0.00998561,0.00332854,0.00998561,0.00332854
2,3357.17,1.10606,0.55729,0.00195,0.89068,0.90413,0.92425,0.69385,0.95932,0.52106,0.00274,0.0197878,0.00659592,0.0197878,0.00659592,0.0197878,0.00659592,0.0197878,0.00659592
3,4881.2,1.12876,0.46251,0.00198,0.90422,0.9314,0.92845,0.7049,0.95508,0.4542,0.00263,0.0293919,0.0097973,0.0293919,0.0097973,0.0293919,0.0097973,0.0293919,0.0097973
4,6381.86,1.08894,0.40932,0.0019,0.89538,0.91846,0.9162,0.7027,0.93346,0.47367,0.00269,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,7893.81,1.02809,0.37181,0.00177,0.90328,0.92093,0.91597,0.71354,0.91725,0.45813,0.00255,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,9377.94,0.98712,0.35504,0.00167,0.90189,0.92177,0.91521,0.7114,0.92263,0.46287,0.00258,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,10948.6,0.95151,0.33677,0.00161,0.90843,0.92428,0.91639,0.72551,0.87912,0.45106,0.00248,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,12491.3,0.92737,0.32562,0.00157,0.90443,0.91643,0.91865,0.73208,0.85654,0.46465,0.00239,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,13956.4,0.90959,0.31748,0.00154,0.89399,0.91177,0.90517,0.70579,0.91911,0.50121,0.00272,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,15377.5,0.89429,0.3126,0.00152,0.90273,0.92341,0.91883,0.73605,0.856,0.45293,0.00245,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,16823.4,0.8836,0.3058,0.00149,0.91204,0.92393,0.92498,0.73698,0.87361,0.45267,0.00245,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,18233.2,0.87222,0.3035,0.00147,0.89671,0.91851,0.91818,0.72589,0.87826,0.47071,0.00254,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,19658.6,0.86994,0.2974,0.00144,0.90131,0.90869,0.91298,0.72578,0.8802,0.49492,0.0025,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
